,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,MARGEN_TOTAL_CALCULADO
749,625.7,100.68,100.68,2625.1
750,625.7,0.0,98.64,3162.35
751,1518.0,0.0,546.03,1943.94
752,2776.65,0.0,1220.15,1556.5
753,2008.0,473.55,473.55,1534.45
754,587.0,0.0,152.07,2609.57
755,780.5,0.0,230.29,2200.85
756,1165.95,0.0,345.97,819.98
757,1112.0,0.0,322.13,789.87
758,1254.2,0.0,192.93,4245.08
759,310.0,54.8,54.8,255.2
760,485.0,141.3,141.3,1031.11
761,921.37,0.0,185.81,2206.69
762,518.97,123.23,123.23,395.73
763,3053.25,773.12,773.12,15960.89
764,1054.0,665.36,665.36,388.64
765,523.85,276.18,276.18,495.34
766,2186.0,925.21,925.21,2521.58
767,727.58,136.58,136.58,591.0
768,343.0,0.0,82.32,260.68
769,976.0,405.35,405.35,1711.94
770,732.0,260.2,260.2,471.8
771,1165.95,345.97,345.97,819.98
772,404.65,0.0,27.79,753.73
773,648.5,65.25,65.25,1166.49
774,648.5,64.34,64.34,1168.31
775,693.35,64.34,64.34,1258.01
776,576.03,210.24,210.24,365.79
777,657.12,265.64,265.64,391.48
778,499.7,205.2,205.2,294.5
779,659.6,0.0,76.36,583.24
780,123.0,15.03,15.03,1079.68
781,355.0,133.05,133.05,4439.07
782,355.0,133.05,133.05,3329.3
783,2068.5,1357.1,1357.1,711.4
784,2464.2,1130.54,1130.54,2667.32
785,980.0,295.59,295.59,4106.48
786,1074.04,0.0,185.06,888.98
787,788.88,42.63,42.63,2985.02
788,727.31,0.0,297.42,429.89
789,624.27,54.8,54.8,569.47
790,572.0,206.11,206.11,365.89
791,812.0,0.0,363.09,2693.45
792,1548.0,0.0,671.28,876.72
793,660.0,0.0,66.99,1186.02
794,1186.17,172.53,172.53,2027.28
795,675.0,0.0,202.71,1416.86
796,938.53,161.73,161.73,3884.0
797,1666.18,0.0,675.99,7921.49
798,1165.95,345.97,345.97,819.98
799,607.1,0.0,131.45,25685.11
800,611.51,0.0,137.76,12791.35
801,753.42,0.0,203.69,1649.18
802,535.48,0.0,126.45,1227.08
803,572.5,144.4,144.4,1284.3
804,794.0,0.0,323.11,470.89
805,941.0,165.65,165.65,775.35
806,636.3,110.15,110.15,2104.62
807,400.0,171.87,171.87,228.13
808,7133.17,0.0,2549.57,9167.2
809,798.0,156.34,156.34,1924.99
810,139.0,42.79,42.79,96.21
811,786.7,150.16,150.16,1909.61
812,2105.0,0.0,255.13,7399.49
813,652.0,0.0,216.25,2178.77
814,968.5,0.0,195.43,3092.27
815,2218.27,1389.6,1389.6,1657.34
816,810.0,257.6,257.6,5524.05
817,1552.5,0.0,384.87,12843.96
818,348.0,54.8,54.8,293.2
819,3120.0,1195.0,1195.0,1925.0
820,315.0,97.49,97.49,217.51
821,435.72,171.87,171.87,527.71
822,1127.0,0.0,316.45,810.55
823,4956.73,1306.63,1306.63,3650.1
824,407.0,155.25,155.25,1007.01
825,541.25,0.0,132.16,1636.35
826,1365.0,0.0,203.04,4647.85
827,681.75,122.18,122.18,2238.28
828,3200.0,0.0,649.31,2550.69
829,3200.0,0.0,590.21,5219.59
830,3200.0,0.0,595.74,2604.26
831,3521.6,585.92,585.92,2935.68
832,1299.32,429.81,429.81,26085.36
833,4250.0,788.54,788.54,10384.38
834,846.2,244.91,244.91,601.29
835,1050.69,0.0,270.68,1560.03
836,2132.55,0.0,230.7,3803.7
837,3650.0,790.28,790.28,11438.87
838,3250.0,753.71,753.71,9985.17
839,2550.0,703.11,703.11,9234.46
840,155.0,0.0,67.57,174.86
841,916.36,0.0,264.47,13689.7
842,25258.15,5169.85,5169.85,20088.3
843,961.45,0.0,324.71,2546.97
844,485.2,89.76,89.76,395.44
845,570.3,72.34,72.34,497.96
846,485.2,0.0,89.76,395.44
847,570.3,0.0,72.34,497.96
848,686.0,0.0,236.2,2698.79
849,462.0,220.0,220.0,484.0
850,4188.63,0.0,1931.62,4514.03
851,14000.0,0.0,277.5,13722.5
852,825.0,333.0,333.0,5904.02
853,810.0,257.6,257.6,5524.05
854,3521.6,1225.86,1225.86,2295.74
855,207.0,92.33,92.33,1146.69
856,1205.0,0.0,282.91,3688.37
857,585.5,0.0,223.92,1807.92
858,648.0,0.0,249.92,1990.42
859,1697.71,567.27,567.27,1130.44
860,821.3,0.0,75.77,3727.64
861,4125.0,0.0,193.86,3931.14
862,1369.18,0.0,197.36,1171.82
863,886.0,55.23,55.23,1661.54
864,695.0,36.8,36.8,1316.41
865,665.0,80.09,80.09,1169.82
866,18869.0,0.0,1721.28,17147.72
867,600.0,179.31,179.31,420.69
868,1250.0,0.0,514.93,7350.71
869,912.0,0.0,301.16,3665.07
870,1154.0,0.0,750.38,2421.75
871,696.0,0.0,43.88,3912.72
872,888.0,0.0,215.26,4036.43
873,509.0,0.0,128.74,3802.63
874,407.0,122.67,122.67,1706.0
875,1939.0,0.0,490.5,23175.96
876,1064.0,0.0,330.66,2200.01
877,485.0,144.4,144.4,1703.0
878,310.0,54.8,54.8,1276.0
879,1252.0,0.0,244.61,7051.71
880,720.0,82.15,82.15,1913.55
881,1215.5,335.77,335.77,879.73
882,185.0,74.45,74.45,1105.5
883,125.0,42.79,42.79,411.03
884,163.0,72.37,72.37,181.27
885,238.0,97.49,97.49,421.52
886,496.0,144.2,144.2,1055.4
887,976.0,396.78,396.78,2316.9
888,1475.3,291.48,291.48,35514.46
889,976.0,0.0,374.14,2407.43
890,1475.3,290.21,290.21,23701.82
891,3053.25,844.23,844.23,8836.08
892,155.0,62.82,62.82,184.36
893,1007.0,0.0,227.21,3119.16
894,853.0,0.0,156.55,696.45
895,2359.7,338.22,338.22,8085.91
896,1139.86,0.0,301.83,838.03
897,720.0,82.15,82.15,2551.4
898,2464.2,1135.53,1135.53,3986.01
899,2068.5,1261.99,1261.99,1613.02
900,413.4,91.5,91.5,1287.58
901,785.0,0.0,181.44,603.56
902,5909.84,0.0,1884.35,4025.49
903,2235.9,0.0,628.8,3214.2
904,1030.0,0.0,282.47,8970.36
905,435.0,0.0,82.37,705.26
906,5251.28,0.0,2121.33,3129.95
907,1299.32,430.03,430.03,26078.68
908,1320.0,73.01,73.01,1246.99
909,483.54,72.97,72.97,410.58
910,155.0,72.37,72.37,82.63
911,490.0,0.0,150.77,1696.15
912,307.0,32.38,32.38,1098.49
913,661.2,31.14,31.14,630.06
914,1696.25,572.12,572.12,2248.25
915,2290.12,917.05,917.05,1373.07
916,2278.45,469.69,469.69,1808.76
917,735.0,86.15,86.15,9732.79
918,1587.0,210.34,210.34,5506.66
919,1598.75,438.86,438.86,3479.66
920,2218.0,0.0,1149.73,3204.81
921,785.0,0.0,110.45,674.55
922,916.36,264.47,264.47,13689.7
923,345.0,345.81,345.81,-1.62
924,787.5,0.0,90.71,1393.58
925,154.31,62.95,62.95,91.36
926,120.0,48.2,48.2,71.8
927,1654.34,0.0,183.81,2941.07
928,2481.59,0.0,0.0,7444.77
929,1130.5,457.78,457.78,2690.88
930,1284.0,249.45,249.45,1034.55
931,25258.15,2754.67,2754.67,22503.48
932,668.0,210.24,210.24,457.76
933,758.5,0.0,120.77,637.73
934,525.0,10.82,10.82,1542.54
935,625.2,43.81,43.81,3488.35
936,625.2,48.94,48.94,1728.79
937,155.0,78.65,78.65,76.35
938,983.0,227.62,227.62,2266.15
939,535.0,0.0,66.88,468.12
940,125.0,48.2,48.2,76.8
941,155.0,62.95,62.95,92.05
942,1048.97,6587.67,6587.67,-5538.7
943,1056.35,348.7,348.7,1415.3
944,985.0,242.78,242.78,1484.45
945,661.2,0.0,31.14,630.06
946,935.0,185.95,185.95,14980.93
947,2177.5,457.71,457.71,10318.75
948,1991.0,0.0,182.87,5424.38
