,CAN_TOT,FECHA_ENT,FECHA_VEN,CAN_TOT
79,448.28000000000003,2019-09-12 00:00:00,2019-10-12,448.28000000000003
80,103.44800000000001,2019-09-12 00:00:00,2019-09-12,103.44800000000001
81,346.55,2019-09-12 00:00:00,2019-09-12,346.55
82,241.37930000000003,2019-09-12 00:00:00,2019-09-12,241.37930000000003
83,7140.540000000001,2019-09-12 00:00:00,2019-09-12,7140.540000000001
84,605.69,2019-09-12 00:00:00,2019-09-12,605.69
85,1218.8826000000001,2019-09-12 00:00:00,2019-09-12,1218.8826000000001
86,4464.8,2019-09-13 00:00:00,2019-09-13,4464.8
87,4464.8,2019-09-13 00:00:00,2019-09-13,4464.8
88,252.15600000000003,2019-09-13 00:00:00,2019-09-13,252.15600000000003
89,1025.45,2019-09-13 00:00:00,2019-09-13,1025.45
90,2989.0400000000004,2019-09-13 00:00:00,2019-09-13,2989.0400000000004
91,315.0,2019-09-13 00:00:00,2019-09-13,315.0
92,466.8272,2019-09-13 00:00:00,2019-09-13,466.8272
93,1764.0956,2019-09-13 00:00:00,2019-10-13,1764.0956
94,2730.7300000000005,2019-09-13 00:00:00,2019-09-28,2730.7300000000005
95,83873.0,2019-09-13 00:00:00,2019-10-13,83873.0
96,679.82,2019-09-13 00:00:00,2019-09-13,679.82
97,783.1500000000001,2019-09-17 00:00:00,2019-09-17,783.1500000000001
98,25075.600000000002,2019-09-17 00:00:00,2019-09-17,25075.600000000002
99,112733.70000000001,2019-09-17 00:00:00,2019-09-17,112733.70000000001
100,305.52000000000004,2019-09-17 00:00:00,2019-09-17,305.52000000000004
101,144.0,2019-09-17 00:00:00,2019-09-17,144.0
102,7700.000000000001,2019-09-17 00:00:00,2019-10-17,7700.000000000001
103,252.16000000000003,2019-09-17 00:00:00,2019-09-17,252.16000000000003
104,1550.0000000000002,2019-09-17 00:00:00,2019-10-17,1550.0000000000002
105,595.0200000000001,2019-09-17 00:00:00,2019-09-17,595.0200000000001
106,1682.0000000000002,2019-09-17 00:00:00,2019-09-17,1682.0000000000002
107,1496.46,2019-09-17 00:00:00,2019-09-17,1496.46
108,1227.6100000000001,2019-09-17 00:00:00,2019-09-17,1227.6100000000001
109,226.8272,2019-09-17 00:00:00,2019-09-17,226.8272
110,2594.8272,2019-09-17 00:00:00,2019-09-17,2594.8272
111,227.60000000000002,2019-09-10 00:00:00,2019-09-17,227.60000000000002
112,4023.5000000000005,2019-09-18 00:00:00,2019-09-18,4023.5000000000005
113,3000.0000000000005,2019-09-18 00:00:00,2019-09-18,3000.0000000000005
114,2697.0,2019-09-18 00:00:00,2019-10-03,2697.0
115,1228.5,2019-09-18 00:00:00,2019-09-18,1228.5
116,2697.0,2019-09-18 00:00:00,2019-10-03,2697.0
117,1215.5400000000002,2019-09-18 00:00:00,2019-09-18,1215.5400000000002
118,7784.4800000000005,2019-09-06 00:00:00,2019-09-18,7784.4800000000005
119,17230.0,2019-09-18 00:00:00,2019-10-18,17230.0
120,7096.4237,2019-09-18 00:00:00,2019-10-03,7096.4237
121,1487.8700000000001,2019-09-18 00:00:00,2019-09-18,1487.8700000000001
122,912.6484,2019-09-18 00:00:00,2019-09-18,912.6484
123,37000.0,2019-09-18 00:00:00,2019-10-18,37000.0
124,2602.5,2019-09-18 00:00:00,2019-10-18,2602.5
125,1197.7495000000001,2019-09-18 00:00:00,2019-09-18,1197.7495000000001
126,1050.0,2019-09-18 00:00:00,2019-09-18,1050.0
127,4118.62,2019-09-18 00:00:00,2019-09-18,4118.62
128,6221.800000000001,2019-09-18 00:00:00,2019-10-03,6221.800000000001
129,6194.64,2019-09-18 00:00:00,2019-10-18,6194.64
130,5129.784000000001,2019-09-19 00:00:00,2019-09-19,5129.784000000001
